team,season,xGPerGame,xGAPerGame,goals
Alaves,2020-21,1.12,0.96,35
Athletic Club,2020-21,1.13,1.02,43
Atletico Madrid,2020-21,1.39,1.24,65
Barcelona,2020-21,1.93,1.77,80
Real Betis,2020-21,1.29,1.07,50
Celta Vigo,2020-21,1.33,1.18,55
Cadiz,2020-21,0.91,0.83,33
Eibar,2020-21,1.19,1.01,29
Elche,2020-21,0.79,0.72,33
Getafe,2020-21,0.91,0.8,27
Granada,2020-21,1.08,0.98,47
Huesca,2020-21,1.02,0.94,32
Levante,2020-21,1.06,0.94,45
Osasuna,2020-21,1.02,0.91,36
Real Madrid,2020-21,1.62,1.56,64
Real Sociedad,2020-21,1.6,1.36,58
Sevilla,2020-21,1.43,1.29,52
Valencia,2020-21,1.12,0.92,48
Valladolid,2020-21,1.06,0.89,34
Villarreal,2020-21,1.48,1.22,57
Alaves,2021-22,1.12,0.96,35
Athletic Club,2021-22,1.13,1.02,43
Atletico Madrid,2021-22,1.39,1.24,65
Barcelona,2021-22,1.93,1.77,80
Real Betis,2021-22,1.29,1.07,50
Celta Vigo,2021-22,1.33,1.18,55
Cadiz,2021-22,0.91,0.83,33
Eibar,2021-22,1.19,1.01,29
Elche,2021-22,0.79,0.72,33
Getafe,2021-22,0.91,0.8,27
Granada,2021-22,1.08,0.98,47
Huesca,2021-22,1.02,0.94,32
Levante,2021-22,1.06,0.94,45
Osasuna,2021-22,1.02,0.91,36
Real Madrid,2021-22,1.62,1.56,64
Real Sociedad,2021-22,1.6,1.36,58
Sevilla,2021-22,1.43,1.29,52
Valencia,2021-22,1.12,0.92,48
Valladolid,2021-22,1.06,0.89,34
Villarreal,2021-22,1.48,1.22,57
Almeria,2022-23,1.2,1.14,49
Athletic Club,2022-23,1.43,1.28,46
Atletico Madrid,2022-23,1.63,1.61,68
Barcelona,2022-23,1.99,1.95,69
Real Betis,2022-23,1.35,1.17,43
Celta Vigo,2022-23,1.12,1.06,41
Cadiz,2022-23,1.09,0.99,29
Elche,2022-23,0.99,0.88,30
Espanyol,2022-23,1.27,1.17,51
Getafe,2022-23,0.97,0.8,34
Girona,2022-23,1.33,1.15,55
Mallorca,2022-23,0.93,0.82,36
Osasuna,2022-23,1.05,0.94,36
Rayo Vallecano,2022-23,1.16,0.99,41
Real Madrid,2022-23,1.99,1.74,73
Real Sociedad,2022-23,1.39,1.31,47
Sevilla,2022-23,1.22,1.12,47
Valencia,2022-23,1.3,1.13,40
Valladolid,2022-23,1.01,0.93,32
Villarreal,2022-23,1.62,1.48,57
Alaves,2023-24,1.22,1.07,33
Almeria,2023-24,1.28,1.24,42
Athletic Club,2023-24,1.39,1.28,59
Atletico Madrid,2023-24,1.64,1.52,68
Barcelona,2023-24,2.04,1.9,76
Real Betis,2023-24,1.16,1.1,46
Celta Vigo,2023-24,1.33,1.23,45
Cadiz,2023-24,0.95,0.88,25
Getafe,2023-24,1.2,1.06,42
Girona,2023-24,1.86,1.7,84
Granada,2023-24,1.12,0.96,35
Las Palmas,2023-24,0.87,0.77,33
Mallorca,2023-24,1.07,1.01,33
Osasuna,2023-24,1.07,0.96,45
Rayo Vallecano,2023-24,1.11,0.99,29
Real Madrid,2023-24,1.81,1.72,85
Real Sociedad,2023-24,1.18,1.1,48
Sevilla,2023-24,1.18,1.14,46
Valencia,2023-24,1.13,0.95,39
Villarreal,2023-24,1.46,1.32,64
Alaves,2024-25,1.13,0.9,38
Athletic Club,2024-25,1.39,1.27,53
Atletico Madrid,2024-25,1.7,1.56,68
Barcelona,2024-25,2.41,2.24,99
Real Betis,2024-25,1.44,1.23,55
Celta Vigo,2024-25,1.43,1.24,58
Espanyol,2024-25,0.91,0.8,38
Getafe,2024-25,0.97,0.87,34
Girona,2024-25,1.12,1.02,43
Las Palmas,2024-25,0.96,0.87,38
Leganes,2024-25,0.95,0.81,38
Mallorca,2024-25,1.02,0.92,34
Osasuna,2024-25,1.16,0.99,46
Rayo Vallecano,2024-25,1.19,1.17,38
Real Madrid,2024-25,1.98,1.7,78
Real Sociedad,2024-25,1.12,1.04,34
Sevilla,2024-25,1.12,1.06,39
Valencia,2024-25,1.14,1.03,43
Valladolid,2024-25,0.91,0.81,26
Villarreal,2024-25,1.71,1.56,69
