players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
29,38,49,439,155,35.3,11.55,4.08,0.11,0.3,18.1,21,2,3,45.5,43.2,0.1,3.5,3.8,/en/squads/78ecf4bb/2022-2023/Almeria-Stats
26,38,46,541,157,29.0,14.24,4.13,0.08,0.26,17.1,13,5,7,54.2,48.7,0.09,-8.2,-7.7,/en/squads/2b390eca/2022-2023/Athletic-Club-Stats
27,38,68,538,195,36.2,14.16,5.13,0.12,0.34,17.0,9,1,1,61.9,61.1,0.12,6.1,5.9,/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
29,38,69,570,187,32.8,15.0,4.92,0.12,0.37,15.8,20,0,2,75.5,74.0,0.13,-6.5,-5.0,/en/squads/206d90db/2022-2023/Barcelona-Stats
30,38,43,411,138,33.6,10.82,3.63,0.09,0.25,18.1,21,8,9,51.3,44.3,0.11,-8.3,-9.3,/en/squads/fc536746/2022-2023/Real-Betis-Stats
26,38,41,470,160,34.0,12.37,4.21,0.08,0.24,19.0,19,2,3,42.6,40.3,0.09,-1.6,-1.3,/en/squads/f25da7fb/2022-2023/Celta-Vigo-Stats
38,38,29,390,108,27.7,10.26,2.84,0.06,0.23,18.2,12,4,5,41.5,37.7,0.1,-12.5,-12.7,/en/squads/ee7c297c/2022-2023/Cadiz-Stats
32,38,30,400,124,31.0,10.53,3.26,0.07,0.21,16.9,10,4,5,37.5,33.6,0.09,-7.5,-7.6,/en/squads/6c8b07df/2022-2023/Elche-Stats
33,38,51,417,151,36.2,10.97,3.97,0.11,0.3,17.3,13,5,5,48.3,44.4,0.11,2.7,1.6,/en/squads/a8661628/2022-2023/Espanyol-Stats
25,38,34,365,116,31.8,9.61,3.05,0.08,0.25,18.0,19,5,8,36.7,30.4,0.09,-2.7,-1.4,/en/squads/7848bd64/2022-2023/Getafe-Stats
29,38,55,446,160,35.9,11.74,4.21,0.11,0.29,17.2,6,8,9,50.6,43.8,0.1,4.4,3.2,/en/squads/9024a00a/2022-2023/Girona-Stats
31,38,36,324,107,33.0,8.53,2.82,0.1,0.3,17.4,8,4,5,35.2,31.1,0.1,0.8,0.9,/en/squads/2aa12281/2022-2023/Mallorca-Stats
26,38,36,441,133,30.2,11.61,3.5,0.07,0.24,18.7,7,4,5,39.8,35.9,0.08,-3.8,-3.9,/en/squads/03c57e2b/2022-2023/Osasuna-Stats
28,38,41,510,146,28.6,13.42,3.84,0.07,0.25,20.6,24,4,8,43.9,37.8,0.08,-2.9,-0.8,/en/squads/98e8af82/2022-2023/Rayo-Vallecano-Stats
26,38,73,634,206,32.5,16.68,5.42,0.1,0.31,18.6,32,9,12,75.5,66.1,0.11,-2.5,-2.1,/en/squads/53a2f082/2022-2023/Real-Madrid-Stats
30,38,47,465,173,37.2,12.24,4.55,0.1,0.26,17.4,15,2,4,52.9,49.7,0.11,-5.9,-4.7,/en/squads/e31d1cd9/2022-2023/Real-Sociedad-Stats
35,38,47,463,141,30.5,12.18,3.71,0.09,0.3,18.1,17,4,5,46.3,42.4,0.09,0.7,0.6,/en/squads/ad2be733/2022-2023/Sevilla-Stats
28,38,40,480,140,29.2,12.63,3.68,0.07,0.25,17.5,18,5,8,49.3,43.0,0.09,-9.3,-8.0,/en/squads/dcc91a7b/2022-2023/Valencia-Stats
36,38,32,443,137,30.9,11.66,3.61,0.07,0.21,19.6,19,3,4,38.5,35.4,0.08,-6.5,-6.4,/en/squads/17859612/2022-2023/Valladolid-Stats
32,38,57,499,188,37.7,13.13,4.95,0.11,0.28,18.0,22,4,7,61.6,56.1,0.12,-4.6,-3.1,/en/squads/2a8183b3/2022-2023/Villarreal-Stats
