players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
29,38,737,459,346,307,84,348,726,47.9,378,382,96,286,309,1046,918,10,/en/squads/8d6fd021/2024-2025/Alaves-Stats
31,38,577,345,240,252,85,296,579,51.1,283,353,72,281,344,921,911,25,/en/squads/2b390eca/2024-2025/Athletic-Club-Stats
24,38,619,375,305,238,76,319,627,50.9,308,358,97,261,260,879,818,25,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats
28,38,538,332,186,245,107,271,520,52.1,249,329,60,269,227,765,601,14,/en/squads/206d90db/2024-2025/Barcelona-Stats
36,38,645,397,271,273,101,342,644,53.1,302,406,113,293,356,1001,910,19,/en/squads/fc536746/2024-2025/Real-Betis-Stats
30,38,555,340,258,217,80,286,576,49.7,290,345,91,254,282,837,828,30,/en/squads/f25da7fb/2024-2025/Celta-Vigo-Stats
27,38,640,397,380,210,50,310,610,50.8,300,435,155,280,315,955,1131,21,/en/squads/a8661628/2024-2025/Espanyol-Stats
30,38,645,393,287,278,80,333,665,50.1,332,411,84,327,276,921,1065,15,/en/squads/7848bd64/2024-2025/Getafe-Stats
30,38,569,348,268,219,82,292,557,52.4,265,327,104,223,279,848,722,34,/en/squads/9024a00a/2024-2025/Girona-Stats
34,38,619,370,308,253,58,307,592,51.9,285,434,139,295,321,940,971,28,/en/squads/0049d422/2024-2025/Las-Palmas-Stats
26,38,633,384,301,250,82,295,599,49.2,304,436,157,279,332,965,1201,18,/en/squads/7c6f2c78/2024-2025/Leganes-Stats
28,38,584,361,305,211,68,257,500,51.4,243,389,153,236,326,910,1161,17,/en/squads/2aa12281/2024-2025/Mallorca-Stats
25,38,614,365,296,239,79,311,618,50.3,307,388,102,286,266,880,918,16,/en/squads/03c57e2b/2024-2025/Osasuna-Stats
26,38,626,396,328,218,80,309,664,46.5,355,443,128,315,334,960,973,22,/en/squads/98e8af82/2024-2025/Rayo-Vallecano-Stats
30,38,586,359,294,209,83,264,486,54.3,222,353,105,248,331,917,633,19,/en/squads/53a2f082/2024-2025/Real-Madrid-Stats
31,38,649,401,309,244,96,308,579,53.2,271,428,120,308,283,932,913,21,/en/squads/e31d1cd9/2024-2025/Real-Sociedad-Stats
35,38,648,390,321,240,87,312,563,55.4,251,368,88,280,367,1015,931,17,/en/squads/ad2be733/2024-2025/Sevilla-Stats
32,38,647,415,340,228,79,321,573,56.0,252,366,96,270,302,949,953,19,/en/squads/dcc91a7b/2024-2025/Valencia-Stats
38,38,596,357,342,204,50,276,566,48.8,290,450,160,290,311,907,944,29,/en/squads/17859612/2024-2025/Valladolid-Stats
31,38,649,396,333,236,80,336,628,53.5,292,426,131,295,281,930,922,21,/en/squads/2a8183b3/2024-2025/Villarreal-Stats
