players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
29,38,107,5,2,623,476,77,798,309,459,8,11,2,1499,639,694,47.9,/en/squads/8d6fd021/2024-2025/Alaves-Stats
31,38,64,3,1,483,386,68,772,344,345,5,5,1,1735,496,514,49.1,/en/squads/2b390eca/2024-2025/Athletic-Club-Stats
24,38,75,3,0,412,427,72,675,260,375,4,5,2,1563,445,420,51.4,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats
28,38,63,3,1,368,465,65,709,227,332,8,4,0,1673,380,339,52.9,/en/squads/206d90db/2024-2025/Barcelona-Stats
36,38,75,4,0,433,524,56,627,356,397,9,4,1,1679,464,478,49.3,/en/squads/fc536746/2024-2025/Real-Betis-Stats
30,38,84,6,3,462,436,67,501,282,340,6,4,2,1532,375,439,46.1,/en/squads/f25da7fb/2024-2025/Celta-Vigo-Stats
27,38,88,1,0,498,432,61,619,315,397,5,6,1,1364,493,504,49.4,/en/squads/a8661628/2024-2025/Espanyol-Stats
30,38,110,7,3,602,506,90,721,276,393,3,9,0,1436,771,738,51.1,/en/squads/7848bd64/2024-2025/Getafe-Stats
30,38,76,2,0,437,439,79,804,279,348,4,6,1,1443,321,344,48.3,/en/squads/9024a00a/2024-2025/Girona-Stats
34,38,110,4,2,452,462,59,674,321,370,1,10,3,1454,529,561,48.5,/en/squads/0049d422/2024-2025/Las-Palmas-Stats
26,38,82,6,0,503,470,84,495,332,384,7,8,3,1500,472,614,43.5,/en/squads/7c6f2c78/2024-2025/Leganes-Stats
28,38,81,6,1,466,432,78,735,326,361,4,3,1,1523,672,609,52.5,/en/squads/2aa12281/2024-2025/Mallorca-Stats
25,38,88,0,0,508,379,66,819,266,365,9,7,1,1461,617,515,54.5,/en/squads/03c57e2b/2024-2025/Osasuna-Stats
26,38,96,3,0,522,391,79,769,334,396,1,8,1,1688,485,540,47.3,/en/squads/98e8af82/2024-2025/Rayo-Vallecano-Stats
30,38,57,4,0,332,518,85,578,331,359,11,3,1,1541,334,267,55.6,/en/squads/53a2f082/2024-2025/Real-Madrid-Stats
31,38,85,4,0,501,417,82,739,283,401,3,7,0,1569,578,606,48.8,/en/squads/e31d1cd9/2024-2025/Real-Sociedad-Stats
35,38,98,8,3,494,402,70,612,367,390,1,6,1,1551,531,442,54.6,/en/squads/ad2be733/2024-2025/Sevilla-Stats
32,38,86,1,0,442,446,72,763,302,415,4,9,3,1550,449,540,45.4,/en/squads/dcc91a7b/2024-2025/Valencia-Stats
38,38,91,5,2,459,486,67,671,311,357,3,7,1,1355,544,524,50.9,/en/squads/17859612/2024-2025/Valladolid-Stats
31,38,96,4,1,442,463,77,674,281,396,6,8,1,1547,492,399,55.2,/en/squads/2a8183b3/2024-2025/Villarreal-Stats
