team,season,xG,goals
Alaves,2020-21,42.6,35
Athletic Club,2020-21,42.9,43
Atletico Madrid,2020-21,52.8,65
Barcelona,2020-21,73.3,80
Cadiz,2020-21,34.6,33
Celta Vigo,2020-21,50.5,55
Eibar,2020-21,45.2,29
Elche,2020-21,30.0,33
Getafe,2020-21,34.6,27
Granada,2020-21,41.0,47
Huesca,2020-21,38.8,32
Levante,2020-21,40.3,45
Osasuna,2020-21,38.8,36
Real Betis,2020-21,49.0,50
Real Madrid,2020-21,61.6,64
Real Sociedad,2020-21,60.8,58
Sevilla,2020-21,54.3,52
Valencia,2020-21,42.6,48
Valladolid,2020-21,40.3,34
Villarreal,2020-21,56.2,57
Alaves,2021-22,42.6,35
Athletic Club,2021-22,42.9,43
Atletico Madrid,2021-22,52.8,65
Barcelona,2021-22,73.3,80
Cadiz,2021-22,34.6,33
Celta Vigo,2021-22,50.5,55
Eibar,2021-22,45.2,29
Elche,2021-22,30.0,33
Getafe,2021-22,34.6,27
Granada,2021-22,41.0,47
Huesca,2021-22,38.8,32
Levante,2021-22,40.3,45
Osasuna,2021-22,38.8,36
Real Betis,2021-22,49.0,50
Real Madrid,2021-22,61.6,64
Real Sociedad,2021-22,60.8,58
Sevilla,2021-22,54.3,52
Valencia,2021-22,42.6,48
Valladolid,2021-22,40.3,34
Villarreal,2021-22,56.2,57
Almeria,2022-23,45.6,49
Athletic Club,2022-23,54.3,46
Atletico Madrid,2022-23,61.9,68
Barcelona,2022-23,75.6,69
Cadiz,2022-23,41.4,29
Celta Vigo,2022-23,42.6,41
Elche,2022-23,37.6,30
Espanyol,2022-23,48.3,51
Getafe,2022-23,36.9,34
Girona,2022-23,50.5,55
Mallorca,2022-23,35.3,36
Osasuna,2022-23,39.9,36
Rayo Vallecano,2022-23,44.1,41
Real Betis,2022-23,51.3,43
Real Madrid,2022-23,75.6,73
Real Sociedad,2022-23,52.8,47
Sevilla,2022-23,46.4,47
Valencia,2022-23,49.4,40
Valladolid,2022-23,38.4,32
Villarreal,2022-23,61.6,57
Alaves,2023-24,46.4,33
Almeria,2023-24,48.6,42
Athletic Club,2023-24,52.8,59
Atletico Madrid,2023-24,62.3,68
Barcelona,2023-24,77.5,76
Cadiz,2023-24,36.1,25
Celta Vigo,2023-24,50.5,45
Getafe,2023-24,45.6,42
Girona,2023-24,70.7,84
Granada,2023-24,42.6,35
Las Palmas,2023-24,33.1,33
Mallorca,2023-24,40.7,33
Osasuna,2023-24,40.7,45
Rayo Vallecano,2023-24,42.2,29
Real Betis,2023-24,44.1,46
Real Madrid,2023-24,68.8,85
Real Sociedad,2023-24,44.8,48
Sevilla,2023-24,44.8,46
Valencia,2023-24,42.9,39
Villarreal,2023-24,55.5,64
Alaves,2024-25,42.9,38
Athletic Club,2024-25,52.8,53
Atletico Madrid,2024-25,64.6,68
Barcelona,2024-25,91.6,99
Celta Vigo,2024-25,54.3,58
Espanyol,2024-25,34.6,38
Getafe,2024-25,36.9,34
Girona,2024-25,42.6,43
Las Palmas,2024-25,36.5,38
Leganes,2024-25,36.1,38
Mallorca,2024-25,38.8,34
Osasuna,2024-25,44.1,46
Rayo Vallecano,2024-25,45.2,38
Real Betis,2024-25,54.7,55
Real Madrid,2024-25,75.2,78
Real Sociedad,2024-25,42.6,34
Sevilla,2024-25,42.6,39
Valencia,2024-25,43.3,43
Valladolid,2024-25,34.6,26
Villarreal,2024-25,65.0,69
