team,season,matchday,points_cum,goal_diff_cum,xg_diff_cum
Alavés,2020-21,1,0,-1,-1.2
Alavés,2020-21,2,0,-2,-0.8999999999999999
Alavés,2020-21,3,1,-2,-2.2
Alavés,2020-21,4,1,-4,-2.3
Alavés,2020-21,5,4,-3,-1.9
Alavés,2020-21,6,4,-5,-3.6
Alavés,2020-21,7,7,-3,-4.1
Alavés,2020-21,8,8,-3,-4.3
Alavés,2020-21,9,9,-3,-4.1
Alavés,2020-21,10,10,-3,-3.8
Alavés,2020-21,11,13,-2,-4.0
Alavés,2020-21,12,14,-2,-4.3
Alavés,2020-21,13,14,-3,-4.5
Alavés,2020-21,14,14,-5,-5.2
Alavés,2020-21,15,17,-4,-5.1
Alavés,2020-21,16,18,-4,-5.7
Alavés,2020-21,17,18,-5,-5.0
Alavés,2020-21,18,18,-7,-4.9
Alavés,2020-21,19,18,-8,-5.5
Alavés,2020-21,20,18,-11,-5.2
Alavés,2020-21,21,19,-11,-5.4
Alavés,2020-21,22,22,-10,-5.9
Alavés,2020-21,23,22,-14,-5.6000000000000005
Alavés,2020-21,24,22,-18,-6.4
Alavés,2020-21,25,22,-19,-6.800000000000001
Alavés,2020-21,26,22,-20,-5.6000000000000005
Alavés,2020-21,27,23,-20,-6.1000000000000005
Alavés,2020-21,28,23,-21,-7.300000000000001
Alavés,2020-21,29,23,-23,-8.3
Alavés,2020-21,30,24,-23,-8.8
Alavés,2020-21,31,27,-22,-8.5
Alavés,2020-21,32,28,-22,-8.5
Alavés,2020-21,33,31,-21,-7.9
Alavés,2020-21,34,31,-24,-8.1
Alavés,2020-21,35,32,-24,-7.300000000000001
Alavés,2020-21,36,35,-22,-6.9
Alavés,2020-21,37,38,-20,-5.300000000000001
Alavés,2020-21,38,38,-21,-6.4
Athletic Club,2020-21,1,0,-2,-0.5
Athletic Club,2020-21,2,0,-3,0.8999999999999999
Athletic Club,2020-21,3,3,-2,2.3
Athletic Club,2020-21,4,3,-3,1.6999999999999997
Athletic Club,2020-21,5,3,-4,1.0999999999999999
Athletic Club,2020-21,6,6,-2,0.8
Athletic Club,2020-21,7,6,-3,0.10000000000000009
Athletic Club,2020-21,8,9,-2,0.9000000000000001
Athletic Club,2020-21,9,9,-3,0.20000000000000018
Athletic Club,2020-21,10,12,1,1.7000000000000002
Athletic Club,2020-21,11,13,1,2.4000000000000004
Athletic Club,2020-21,12,13,-1,1.9000000000000001
Athletic Club,2020-21,13,14,-1,2.0
Athletic Club,2020-21,14,17,1,2.6000000000000005
Athletic Club,2020-21,15,18,1,2.8000000000000003
Athletic Club,2020-21,16,18,0,2.6
Athletic Club,2020-21,17,21,1,2.2
Athletic Club,2020-21,18,21,0,2.6000000000000005
Athletic Club,2020-21,19,21,-2,2.8000000000000003
Athletic Club,2020-21,20,24,2,5.800000000000001
Athletic Club,2020-21,21,24,1,6.5
Athletic Club,2020-21,22,25,1,6.300000000000001
Athletic Club,2020-21,23,28,5,8.1
Athletic Club,2020-21,24,29,5,6.5
Athletic Club,2020-21,25,30,5,5.6
Athletic Club,2020-21,26,33,6,6.3
Athletic Club,2020-21,27,34,6,5.6
Athletic Club,2020-21,28,35,6,5.0
Athletic Club,2020-21,29,36,6,5.3
Athletic Club,2020-21,30,37,6,3.5
Athletic Club,2020-21,31,38,6,2.7
Athletic Club,2020-21,32,41,7,3.5
Athletic Club,2020-21,33,42,7,4.0
Athletic Club,2020-21,34,45,8,4.3
Athletic Club,2020-21,35,46,8,4.7
Athletic Club,2020-21,36,46,7,4.5
Athletic Club,2020-21,37,46,6,3.8
Athletic Club,2020-21,38,46,4,3.3
Atlético Madrid,2020-21,1,3,2,1.6
Atlético Madrid,2020-21,2,4,2,1.5
Atlético Madrid,2020-21,3,7,7,4.2
Atlético Madrid,2020-21,4,8,7,2.6
Atlético Madrid,2020-21,5,9,7,2.0
Atlético Madrid,2020-21,6,12,9,2.6
Atlético Madrid,2020-21,7,15,11,3.2
Atlético Madrid,2020-21,8,18,13,3.4000000000000004
Atlético Madrid,2020-21,9,21,17,5.300000000000001
Atlético Madrid,2020-21,10,24,18,5.800000000000001
Atlético Madrid,2020-21,11,27,19,5.9
Atlético Madrid,2020-21,12,30,21,6.7
Atlético Madrid,2020-21,13,30,19,6.0
Atlético Madrid,2020-21,14,33,21,6.8
Atlético Madrid,2020-21,15,36,23,8.3
Atlético Madrid,2020-21,16,39,24,8.2
Atlético Madrid,2020-21,17,42,25,8.0
Atlético Madrid,2020-21,18,45,26,8.5
Atlético Madrid,2020-21,19,48,27,9.3
Atlético Madrid,2020-21,20,51,29,10.5
Atlético Madrid,2020-21,21,54,31,12.6
Atlético Madrid,2020-21,22,55,31,13.4
Atlético Madrid,2020-21,23,58,32,14.7
Atlético Madrid,2020-21,24,58,30,12.6
Atlético Madrid,2020-21,25,61,32,14.0
Atlético Madrid,2020-21,26,62,32,13.6
Atlético Madrid,2020-21,27,63,32,12.0
Atlético Madrid,2020-21,28,66,33,12.5
Atlético Madrid,2020-21,29,66,32,11.7
Atlético Madrid,2020-21,30,67,32,11.4
Atlético Madrid,2020-21,31,70,34,11.2
Atlético Madrid,2020-21,32,70,33,11.4
Atlético Madrid,2020-21,33,73,38,14.5
Atlético Madrid,2020-21,34,76,39,14.6
Atlético Madrid,2020-21,35,77,39,13.8
Atlético Madrid,2020-21,36,80,40,14.4
Atlético Madrid,2020-21,37,83,41,13.8
Atlético Madrid,2020-21,38,86,42,14.4
Barcelona,2020-21,1,3,3,0.2999999999999998
Barcelona,2020-21,2,6,4,1.6999999999999997
Barcelona,2020-21,3,9,8,3.0999999999999996
Barcelona,2020-21,4,12,11,5.3999999999999995
Barcelona,2020-21,5,13,11,5.3999999999999995
Barcelona,2020-21,6,13,10,4.699999999999999
Barcelona,2020-21,7,13,8,3.8999999999999995
Barcelona,2020-21,8,14,8,2.9999999999999996
Barcelona,2020-21,9,17,11,4.6
Barcelona,2020-21,10,17,10,3.6999999999999997
Barcelona,2020-21,11,20,14,3.9999999999999996
Barcelona,2020-21,12,20,13,3.4999999999999996
